episode,episode_return_mean,episode_return_q1,episode_return_q3,episode_return_iqr,steps_mean,steps_q1,steps_q3,steps_iqr,mean_abs_td_error_mean,mean_abs_td_error_q1,mean_abs_td_error_q3,mean_abs_td_error_iqr,mean_abs_q_change_mean,mean_abs_q_change_q1,mean_abs_q_change_q3,mean_abs_q_change_iqr,exploration_ratio_mean,exploration_ratio_q1,exploration_ratio_q3,exploration_ratio_iqr,q_table_size_mean,q_table_size_q1,q_table_size_q3,q_table_size_iqr,q_table_nonzero_mean,q_table_nonzero_q1,q_table_nonzero_q3,q_table_nonzero_iqr,max_q_value_mean,max_q_value_q1,max_q_value_q3,max_q_value_iqr,mean_q_value_mean,mean_q_value_q1,mean_q_value_q3,mean_q_value_iqr,action_entropy_mean,action_entropy_q1,action_entropy_q3,action_entropy_iqr,td_error_std_mean,td_error_std_q1,td_error_std_q3,td_error_std_iqr,q_change_std_mean,q_change_std_q1,q_change_std_q3,q_change_std_iqr,unique_states_visited_mean,unique_states_visited_q1,unique_states_visited_q3,unique_states_visited_iqr
16,13.2,11.0,12.0,1.0,13.2,11.0,12.0,1.0,1.4743872877487714,1.34353861443386,1.5440546608614882,0.20051604642762832,0.14743872877487707,0.1343538614433859,0.1544054660861487,0.020051604642762788,0.11627705627705627,0.0,0.1904761904761904,0.1904761904761904,9.0,9.0,9.0,0.0,9.0,9.0,9.0,0.0,4.6090989654040975,4.53525354413223,4.682944386675965,0.1476908425437351,1.5695250770317721,1.5586121089944145,1.58043804506913,0.021825936074715502,0.15231804867461904,0.07615902433730952,0.22847707301192854,0.152318048674619,0.8555534814841059,0.7725991959959735,0.9385077669722383,0.16590857097626477,0.08555534814841051,0.0772599195995973,0.0938507766972237,0.016590857097626407,4.0,4.0,4.0,0.0
17,35.8,10.0,14.0,4.0,35.8,10.0,14.0,4.0,1.4440144486968116,1.338483024420588,1.4968263181619987,0.15834329374141065,0.14440144486968115,0.1338483024420588,0.1496826318161999,0.015834329374141087,0.1174452413258383,0.0,0.1716417910447761,0.1716417910447761,9.0,9.0,9.0,0.0,9.0,9.0,9.0,0.0,4.565533924104855,4.5621003670517934,4.568967481157918,0.0068671141061242835,1.6823348468086134,1.6631038258986037,1.701565867718623,0.03846204182001922,0.44212781567312315,0.42612206698076605,0.45813356436548025,0.032011497384714205,0.8341094467383257,0.8197034482377792,0.848515445238872,0.028811997001092826,0.08341094467383255,0.08197034482377792,0.08485154452388717,0.0028811997001092493,4.0,4.0,4.0,0.0
18,10.2,9.0,10.0,1.0,10.2,9.0,10.0,1.0,1.287601843387559,1.1058968188980305,1.344732655778316,0.23883583688028542,0.12876018433875583,0.1105896818898029,0.1344732655778315,0.02388358368802862,0.1152136752136752,0.1,0.1538461538461538,0.053846153846153794,9.0,9.0,9.0,0.0,9.0,9.0,9.0,0.0,4.906345753099438,4.904509029871099,4.908182476327776,0.0036734464566769987,1.7205557453012874,1.7012871522885775,1.7398243383139973,0.03853718602541978,0.0,0.0,-0.0,-0.0,0.4238989862399003,0.4184352278691486,0.429362744610652,0.010927516741503385,0.04238989862399,0.04184352278691485,0.042936274461065155,0.001092751674150308,2.0,2.0,2.0,0.0
19,41.8,9.0,11.0,2.0,41.8,9.0,11.0,2.0,1.5681708500459048,1.5692339890157347,1.5904686318265633,0.02123464281082854,0.15681708500459046,0.1569233989015734,0.1590468631826564,0.0021234642810830096,0.09909685086155672,0.0823529411764705,0.1,0.0176470588235295,9.0,9.0,9.0,0.0,9.0,9.0,9.0,0.0,4.983143816341619,4.954674113509454,5.0116135191737845,0.05693940566433042,1.8010566208368133,1.7822138044149045,1.819899437258722,0.03768563284381754,0.17441604792151594,0.08720802396075797,0.2616240718822739,0.1744160479215159,1.3335730141129478,1.2979328440037592,1.3692131842221364,0.07128034021837726,0.13335730141129476,0.12979328440037594,0.13692131842221358,0.007128034021837648,3.0,3.0,3.0,0.0
20,9.6,8.0,11.0,3.0,9.6,8.0,11.0,3.0,1.526604698072086,1.4199840405725137,1.5820977049777056,0.16211366440519193,0.15266046980720857,0.1419984040572515,0.1582097704977705,0.016211366440518987,0.05303030303030302,0.0,0.0833333333333333,0.0833333333333333,9.5,9.25,9.75,0.5,9.5,9.25,9.75,0.5,4.982934062751241,4.845813924883177,5.120054200619306,0.27424027573612886,1.8132694192370025,1.7837884566547444,1.8427503818192603,0.05896192516451593,0.47057513282202545,0.38760561508563174,0.5535446505584191,0.16593903547278732,1.2479124343539487,1.1760529664128723,1.3197719022950254,0.14371893588215312,0.12479124343539484,0.11760529664128716,0.13197719022950252,0.014371893588215362,3.0,3.0,3.0,0.0
21,10.0,10.0,10.0,0.0,10.0,10.0,10.0,0.0,1.3108125407494626,1.1624289168677175,1.404488703069395,0.24205978620167756,0.13108125407494625,0.1162428916867717,0.1404488703069396,0.024205978620167892,0.2208080808080808,0.1818181818181818,0.2222222222222222,0.040404040404040414,9.5,9.25,9.75,0.5,9.5,9.25,9.75,0.5,5.02913524985462,4.898933886454209,5.1593366132550305,0.2604027268008213,1.8713458766589857,1.8408803039577188,1.9018114493602527,0.06093114540253386,0.0,0.0,-0.0,-0.0,0.533411452550448,0.48824840635900124,0.5785744987418947,0.09032609238289346,0.0533411452550447,0.0488248406359,0.0578574498741894,0.009032609238289399,3.0,3.0,3.0,0.0
22,35.4,10.0,13.0,3.0,35.4,10.0,13.0,3.0,1.5669024962845481,1.285056056982397,1.7756727096458291,0.49061665266343213,0.15669024962845474,0.1285056056982396,0.1775672709645828,0.0490616652663432,0.06878787878787877,0.0606060606060606,0.1,0.039393939393939405,9.5,9.25,9.75,0.5,9.5,9.25,9.75,0.5,4.91084064061115,4.707784679826516,5.113896601395785,0.406111921569269,1.9410455599116618,1.9009801881417754,1.9811109316815485,0.08013074353977312,0.3086208848651708,0.1543104424325854,0.4629313272977562,0.3086208848651708,0.8101424389050019,0.6777463810978164,0.9425384967121875,0.2647921156143711,0.0810142438905002,0.06777463810978165,0.09425384967121875,0.026479211561437094,3.0,3.0,3.0,0.0
23,36.8,10.0,11.0,1.0,36.8,10.0,11.0,1.0,1.3817375432571817,1.248005064414352,1.5577676731440682,0.30976260872971606,0.13817375432571813,0.1248005064414351,0.1557767673144067,0.030976260872971603,0.15818181818181817,0.0909090909090909,0.3,0.2090909090909091,9.5,9.25,9.75,0.5,9.5,9.25,9.75,0.5,4.927264274210914,4.76337343467743,5.0911551137443976,0.32778167906696787,1.996065434242391,1.9512453627311444,2.0408855057536375,0.08964014302249312,0.15231804867461904,0.07615902433730952,0.22847707301192854,0.152318048674619,0.9111566335787649,0.6913409367594895,1.1309723303980401,0.43963139363855064,0.09111566335787635,0.06913409367594882,0.11309723303980387,0.043963139363855055,3.0,3.0,3.0,0.0
24,9.6,9.0,10.0,1.0,9.6,9.0,10.0,1.0,1.4122180788447427,1.39416477849544,1.5607308647495293,0.1665660862540892,0.1412218078844742,0.1394164778495439,0.1560730864749529,0.01665660862540902,0.042222222222222223,0.0,0.1,0.1,9.5,9.25,9.75,0.5,9.5,9.25,9.75,0.5,4.941254669268293,4.81281828198261,5.0696910565539755,0.2568727745713657,2.048084854099867,2.0023229142732832,2.093846793926451,0.09152387965316766,0.15231804867461904,0.07615902433730952,0.22847707301192854,0.152318048674619,0.6835603010016315,0.4982371962836272,0.8688834057196357,0.3706462094360085,0.06835603010016306,0.04982371962836257,0.08688834057196353,0.037064620943600954,3.0,3.0,3.0,0.0
25,9.0,8.0,10.0,2.0,9.0,8.0,10.0,2.0,1.647728916299585,1.483209613540627,1.8254964152009487,0.34228680166032177,0.16477289162995842,0.1483209613540627,0.1825496415200948,0.034228680166032116,0.07222222222222222,0.0,0.125,0.125,9.5,9.25,9.75,0.5,9.5,9.25,9.75,0.5,4.967249052169914,4.86385009022725,5.070648014112579,0.20679792388532903,2.125884835555848,2.0787370429496255,2.173032628162071,0.09429558521244541,0.1625414866957241,0.08127074334786205,0.24381223004358615,0.1625414866957241,1.0722277232838828,0.9522301287868171,1.1922253177809483,0.2399951889941312,0.1072227723283882,0.09522301287868165,0.11922253177809475,0.023999518899413097,4.0,4.0,4.0,0.0
26,9.4,9.0,10.0,1.0,9.4,9.0,10.0,1.0,1.3961498341726748,1.358779526065149,1.4294520281007377,0.07067250203558872,0.1396149834172674,0.1358779526065148,0.1429452028100737,0.007067250203558889,0.1511111111111111,0.1111111111111111,0.2222222222222222,0.1111111111111111,9.5,9.25,9.75,0.5,9.5,9.25,9.75,0.5,5.090299044846843,5.0065493350451185,5.174048754648568,0.16749941960344916,2.1988806229227085,2.150038331248716,2.247722914596701,0.09768458334798513,0.0,0.0,-0.0,-0.0,0.882336207086336,0.837871020994533,0.9268013931781389,0.08893037218360589,0.0882336207086336,0.0837871020994533,0.0926801393178139,0.0088930372183606,4.0,4.0,4.0,0.0
27,12.8,10.0,10.0,0.0,12.8,10.0,10.0,0.0,1.3272783398466967,1.0772794373482395,1.356906048053716,0.27962661070547656,0.13272783398466964,0.1077279437348239,0.1356906048053715,0.02796266107054761,0.10500000000000001,0.1,0.1,0.0,9.5,9.25,9.75,0.5,9.5,9.25,9.75,0.5,5.3936809107017085,5.289290480525144,5.498071340878273,0.20878086035312826,2.2412797686737043,2.1907467842039052,2.2918127531435033,0.10106596893959807,0.25020121176909393,0.12510060588454697,0.3753018176536409,0.25020121176909393,0.410586610980844,0.39260842012995456,0.4285648018317334,0.03595638170177884,0.0410586610980843,0.0392608420129953,0.0428564801831733,0.003595638170177995,3.0,3.0,3.0,0.0
28,9.6,9.0,10.0,1.0,9.6,9.0,10.0,1.0,1.485510928921808,1.4285471078491676,1.676096146469308,0.24754903862014044,0.1485510928921808,0.1428547107849166,0.1676096146469309,0.024754903862014288,0.10040404040404041,0.0,0.1111111111111111,0.1111111111111111,9.5,9.25,9.75,0.5,9.5,9.25,9.75,0.5,5.409488077386839,5.398693028922739,5.420283125850939,0.021590096928200353,2.2837855529082507,2.233529518162307,2.334041587654194,0.10051206949188662,0.15231804867461904,0.07615902433730952,0.22847707301192854,0.152318048674619,0.9204591868704268,0.6709219503783898,1.169996423362464,0.49907447298407426,0.09204591868704269,0.06709219503783895,0.11699964233624643,0.04990744729840749,3.0,3.0,3.0,0.0
29,9.8,10.0,10.0,0.0,9.8,10.0,10.0,0.0,1.4582055511397158,1.318614236980593,1.5850900444361034,0.26647580745551025,0.14582055511397155,0.1318614236980594,0.1585090044436103,0.026647580745550903,0.10222222222222221,0.1,0.1,0.0,9.5,9.25,9.75,0.5,9.5,9.25,9.75,0.5,5.7067862559010685,5.688678405972398,5.724894105829739,0.03621569985734041,2.35230127640509,2.3003670889003267,2.4042354639098535,0.10386837500952684,0.0,0.0,-0.0,-0.0,0.9355596235743122,0.9319446949216945,0.9391745522269299,0.007229857305235399,0.0935559623574311,0.0931944694921693,0.0939174552226929,0.0007229857305236093,4.0,4.0,4.0,0.0
30,11.6,9.0,13.0,4.0,11.6,9.0,13.0,4.0,1.365701161932344,1.1429863822702404,1.5153236279207274,0.372337245650487,0.1365701161932344,0.114298638227024,0.1515323627920727,0.037233724565048684,0.013333333333333319,0.0,0.0,0.0,9.5,9.25,9.75,0.5,9.5,9.25,9.75,0.5,5.875578714885561,5.863294386182089,5.887863043589034,0.02456865740694525,2.4568402902414723,2.406310545609869,2.5073700348730763,0.10105948926320751,0.3580795024933885,0.32245774277477457,0.39370126221200236,0.07124351943722779,1.080586274976737,1.0773942182575513,1.0837783316959226,0.006384113438371308,0.10805862749767364,0.10773942182575512,0.10837783316959218,0.0006384113438370614,4.0,4.0,4.0,0.0
31,9.4,9.0,10.0,1.0,9.4,9.0,10.0,1.0,1.1326786065892553,1.0497097415987215,1.1835384822519268,0.13382874065320527,0.11326786065892544,0.1049709741598722,0.1183538482251926,0.013382874065320405,0.15333333333333332,0.1,0.2222222222222222,0.1222222222222222,9.5,9.25,9.75,0.5,9.5,9.25,9.75,0.5,6.147142217368918,6.124058859582577,6.170225575155258,0.046166715572680594,2.4888648621054648,2.437319020060607,2.540410704150322,0.10309168408971514,0.0,0.0,-0.0,-0.0,0.4913593535015697,0.4429429972874756,0.5397757097156638,0.0968327124281882,0.04913593535015695,0.04429429972874753,0.05397757097156637,0.009683271242818842,3.0,3.0,3.0,0.0
32,8.6,8.0,9.0,1.0,8.6,8.0,9.0,1.0,1.398311063004549,1.2421690575086073,1.504886479291261,0.2627174217826538,0.13983110630045484,0.1242169057508606,0.150488647929126,0.026271742178265403,0.04444444444444444,0.0,0.1111111111111111,0.1111111111111111,9.5,9.25,9.75,0.5,9.5,9.25,9.75,0.5,6.147142217368918,6.124058859582577,6.170225575155258,0.046166715572680594,2.5543013741764593,2.5008618709774684,2.6077408773754502,0.10687900639798187,0.0,0.0,-0.0,-0.0,1.0844055787580231,1.0421573295681772,1.1266538279478693,0.08449649837969209,0.10844055787580234,0.10421573295681777,0.11266538279478693,0.008449649837969156,3.0,3.0,3.0,0.0
33,32.6,9.0,13.0,4.0,32.6,9.0,13.0,4.0,1.6373581100851802,1.4898171561279183,1.5602679121154297,0.07045075598751138,0.163735811008518,0.1489817156127918,0.1560267912115431,0.0070450755987512825,0.10378510378510378,0.0769230769230769,0.1111111111111111,0.034188034188034205,9.5,9.25,9.75,0.5,9.5,9.25,9.75,0.5,6.147142217368918,6.124058859582577,6.170225575155258,0.046166715572680594,2.6154992509461854,2.56019774131876,2.6708007605736106,0.11060301925485039,0.0,0.0,-0.0,-0.0,1.0388269535911068,1.0037896472779475,1.0738642599042658,0.07007461262631831,0.1038826953591105,0.1003789647277946,0.1073864259904264,0.007007461262631798,3.0,3.0,3.0,0.0
34,8.6,8.0,9.0,1.0,8.6,8.0,9.0,1.0,1.3525151879382933,1.244466257844299,1.426572134125111,0.18210587628081187,0.13525151879382924,0.1244466257844297,0.142657213412511,0.018210587628081296,0.13333333333333333,0.0,0.2222222222222222,0.2222222222222222,9.5,9.25,9.75,0.5,9.5,9.25,9.75,0.5,6.147142217368918,6.124058859582577,6.170225575155258,0.046166715572680594,2.6331197008906138,2.576494501741441,2.689744900039786,0.11325039829834482,0.0,0.0,-0.0,-0.0,0.5910760709242978,0.5577792173136374,0.6243729245349582,0.06659370722132074,0.0591076070924298,0.0557779217313638,0.0624372924534958,0.006659370722132005,2.0,2.0,2.0,0.0
35,9.2,8.0,10.0,2.0,9.2,8.0,10.0,2.0,1.3872192358864708,1.1151597089747487,1.4184836599342898,0.3033239509595411,0.13872192358864707,0.1115159708974748,0.1418483659934289,0.030332395095954104,0.11499999999999999,0.1,0.125,0.024999999999999994,9.5,9.25,9.75,0.5,9.5,9.25,9.75,0.5,6.353578622811209,6.326030842459794,6.381126403162626,0.05509556070283228,2.6623906052008453,2.6047275711187634,2.720053639282927,0.11532606816416369,0.0,0.0,-0.0,-0.0,0.6041633478503541,0.5877865826043303,0.6205401130963779,0.032753530492047656,0.060416334785035344,0.05877865826043303,0.06205401130963767,0.003275353049204642,3.0,3.0,3.0,0.0
