episode,wall_clock_sec,episode_return,exploration_ratio,mean_abs_q_change,mean_abs_td_error,steps
0,0.09805798530578613,8.0,0.125,0.09368254498875,0.9368254498875,8
1,0.09905767440795898,9.0,0.1111111111111111,0.09180188873119421,0.9180188873119425,9
2,0.09905767440795898,9.0,0.0,0.08321304574316278,0.8321304574316277,9
3,0.09905767440795898,9.0,0.1111111111111111,0.08285421823858427,0.8285421823858423,9
4,0.09905767440795898,9.0,0.1111111111111111,0.10313241755685428,1.0313241755685425,9
5,0.09905767440795898,9.0,0.0,0.10452935553678916,1.0452935553678913,9
6,0.09905767440795898,8.0,0.0,0.08805354907007379,0.8805354907007379,8
7,0.09905767440795898,9.0,0.1111111111111111,0.1214505342866813,1.214505342866813,9
8,0.09905767440795898,10.0,0.1,0.11486320558844221,1.148632055884422,10
9,0.09905767440795898,10.0,0.2,0.1121897835490987,1.1218978354909863,10
10,0.09905767440795898,15.0,0.13333333333333333,0.1307697188443562,1.3076971884435622,15
11,0.09905767440795898,12.0,0.16666666666666666,0.1830193892717121,1.8301938927171217,12
12,0.09905767440795898,9.0,0.1111111111111111,0.12675049873017769,1.2675049873017774,9
13,0.09905767440795898,10.0,0.2,0.13236962836757463,1.3236962836757458,10
14,0.09905767440795898,9.0,0.1111111111111111,0.12952474660199476,1.2952474660199473,9
15,0.09905767440795898,9.0,0.1111111111111111,0.11315206293789576,1.131520629378958,9
16,0.09905767440795898,12.0,0.0,0.13093480730596496,1.3093480730596496,12
17,0.09905767440795898,10.0,0.0,0.13151975796078702,1.3151975796078694,10
18,0.09905767440795898,10.0,0.1,0.1324560886984465,1.3245608869844656,10
19,0.09905767440795898,11.0,0.09090909090909091,0.1590468631826564,1.5904686318265633,11
20,0.09905767440795898,8.0,0.0,0.1419984040572515,1.4199840405725137,8
21,0.09905767440795898,11.0,0.18181818181818182,0.1404488703069396,1.404488703069395,11
22,0.09905767440795898,10.0,0.1,0.12850560569823968,1.285056056982397,10
23,0.09905767440795898,10.0,0.3,0.12480050644143519,1.2480050644143519,10
24,0.09905767440795898,9.0,0.0,0.13941647784954397,1.39416477849544,9
25,0.09905767440795898,9.0,0.1111111111111111,0.19913340358608125,1.9913340358608127,9
26,0.09905767440795898,9.0,0.1111111111111111,0.128933551138048,1.2893355113804796,9
27,0.09905767440795898,10.0,0.1,0.12652533163732102,1.2652533163732105,10
28,0.09905767440795898,9.0,0.0,0.16760961464693092,1.676096146469308,9
29,0.09905767440795898,10.0,0.1,0.15850900444361038,1.5850900444361034,10
30,0.09905767440795898,9.0,0.0,0.10237975054773468,1.0237975054773452,9
31,0.09905767440795898,9.0,0.2222222222222222,0.11445702355588816,1.1445702355588823,9
32,0.09905767440795898,8.0,0.0,0.12016352139026204,1.2016352139026203,8
33,0.09905767440795898,13.0,0.07692307692307693,0.14685096527405803,1.4685096527405794,13
34,0.09905767440795898,9.0,0.2222222222222222,0.14265721341251103,1.426572134125111,9
35,0.09905767440795898,8.0,0.125,0.12534243417777297,1.2534243417777298,8
36,0.09905767440795898,11.0,0.0,0.13272221766954703,1.32722217669547,11
37,0.09905767440795898,9.0,0.0,0.12145169222238901,1.2145169222238905,9
38,0.09905767440795898,8.0,0.125,0.12595125309073862,1.2595125309073856,8
39,0.09905767440795898,10.0,0.1,0.13755174949649113,1.3755174949649107,10
40,0.09905767440795898,11.0,0.0,0.19250278208878022,1.925027820887803,11
41,0.09905767440795898,11.0,0.0,0.1577505314534575,1.5775053145345743,11
42,0.09905767440795898,9.0,0.0,0.14244686512469965,1.4244686512469964,9
43,0.09905767440795898,9.0,0.0,0.11859986142870306,1.1859986142870302,9
44,0.09905767440795898,9.0,0.1111111111111111,0.13487786197583118,1.3487786197583118,9
45,0.09905767440795898,11.0,0.09090909090909091,0.17447605127115104,1.7447605127115104,11
46,0.09905767440795898,13.0,0.0,0.16967353252640527,1.696735325264052,13
47,0.09905767440795898,10.0,0.1,0.15572618716672526,1.557261871667253,10
48,0.09905767440795898,11.0,0.2727272727272727,0.13576471137932078,1.3576471137932062,11
49,0.09905767440795898,10.0,0.2,0.10909517255316226,1.0909517255316223,10
50,0.09905767440795898,10.0,0.1,0.11296741981777214,1.1296741981777214,10
51,0.10005784034729004,18.0,0.16666666666666666,0.22896168954785162,2.2896168954785154,18
52,0.10005784034729004,9.0,0.2222222222222222,0.1245784218033657,1.2457842180336576,9
53,0.10005784034729004,9.0,0.1111111111111111,0.11127742264412029,1.1127742264412028,9
54,0.10005784034729004,9.0,0.0,0.12005193145724243,1.200519314572424,9
55,0.10005784034729004,10.0,0.4,0.12031244844114623,1.2031244844114615,10
56,0.10005784034729004,11.0,0.2727272727272727,0.12638908889154774,1.2638908889154765,11
57,0.10005784034729004,9.0,0.1111111111111111,0.11918404737250625,1.1918404737250627,9
58,0.10005784034729004,9.0,0.1111111111111111,0.1216210328534903,1.2162103285349022,9
59,0.10005784034729004,11.0,0.09090909090909091,0.1437815381508433,1.4378153815084334,11
60,0.10005784034729004,10.0,0.0,0.12612713889854618,1.2612713889854625,10
61,0.10005784034729004,11.0,0.09090909090909091,0.12732956257506667,1.2732956257506667,11
62,0.10005784034729004,9.0,0.0,0.1392743124616629,1.3927431246166297,9
63,0.10005784034729004,9.0,0.2222222222222222,0.1448579342742202,1.448579342742202,9
64,0.10005784034729004,10.0,0.2,0.12399840659213712,1.2399840659213708,10
65,0.10005784034729004,10.0,0.1,0.11625531085540619,1.162553108554062,10
66,0.10005784034729004,8.0,0.125,0.1442774089860242,1.442774089860243,8
67,0.10005784034729004,12.0,0.16666666666666666,0.17778607541000416,1.7778607541000415,12
68,0.10005784034729004,9.0,0.1111111111111111,0.13486990475626945,1.3486990475626934,9
69,0.10005784034729004,11.0,0.18181818181818182,0.12430206976380118,1.2430206976380118,11
70,0.10005784034729004,10.0,0.3,0.12857427484023254,1.2857427484023263,10
71,0.10005784034729004,11.0,0.0,0.10183813721584455,1.0183813721584454,11
72,0.10005784034729004,11.0,0.09090909090909091,0.1432599216155806,1.432599216155806,11
73,0.10005784034729004,10.0,0.0,0.12891464113864778,1.289146411386477,10
74,0.10005784034729004,13.0,0.07692307692307693,0.12744004766617262,1.2744004766617254,13
75,0.10005784034729004,10.0,0.0,0.12095132308341072,1.2095132308341077,10
76,0.10005784034729004,10.0,0.1,0.1124729745907779,1.1247297459077774,10
77,0.10005784034729004,9.0,0.1111111111111111,0.130323440455271,1.3032344045527102,9
78,0.10005784034729004,9.0,0.0,0.12567467084097994,1.2567467084097996,9
79,0.10005784034729004,10.0,0.0,0.12256349646855194,1.2256349646855196,10
80,0.10005784034729004,13.0,0.07692307692307693,0.16204724547642213,1.620472454764222,13
81,0.10005784034729004,9.0,0.0,0.1337634735202499,1.3376347352024995,9
82,0.10005784034729004,12.0,0.0,0.13348544767335155,1.3348544767335155,12
83,0.10005784034729004,9.0,0.1111111111111111,0.1303167671391495,1.3031676713914955,9
84,0.10005784034729004,12.0,0.16666666666666666,0.1368586137640694,1.3685861376406943,12
