episode,wall_clock_sec,episode_return,exploration_ratio,mean_abs_q_change,mean_abs_td_error,steps
0,0.11146759986877441,8.0,0.125,0.09368254498875,0.9368254498875,8
1,0.11146759986877441,9.0,0.1111111111111111,0.09180188873119421,0.9180188873119425,9
2,0.11146759986877441,9.0,0.0,0.08321304574316278,0.8321304574316277,9
3,0.11146759986877441,9.0,0.1111111111111111,0.08285421823858427,0.8285421823858423,9
4,0.11146759986877441,9.0,0.1111111111111111,0.10313241755685428,1.0313241755685425,9
