episode,wall_clock_sec,action_entropy,episode_return,exploration_ratio,max_q_value,mean_abs_q_change,mean_abs_td_error,mean_q_value,q_change_std,q_table_nonzero,q_table_size,steps,td_error_std,unique_states_visited
0,0.10350298881530762,0.47413931305783735,11.0,0.0,0.42810615811900005,0.09535162786473544,0.9535162786473546,0.34962263550403,0.018917380871953108,3,3,11,0.1891738087195311,2
1,0.10350298881530762,-0.0,10.0,0.2,0.79047418009151,0.0926932341221372,0.9269323412213721,0.49395006193336555,0.02122418779512106,4,4,10,0.2122418779512105,3
2,0.10350298881530762,0.3250829733914482,10.0,0.0,1.0147667541658723,0.09450309417786139,0.9450309417786139,0.5841662379024152,0.03915333034493455,5,5,10,0.39153330344934517,4
3,0.10350298881530762,0.34883209584303193,9.0,0.2222222222222222,1.4578336516780808,0.09258127208309912,0.9258127208309914,0.6087203044626585,0.043841171345916655,6,6,9,0.43841171345916635,2
4,0.10450124740600586,-0.0,8.0,0.0,1.8589247035598262,0.07656417363445948,0.7656417363445949,0.706341466917125,0.03819839549437514,6,6,8,0.38198395494375126,2
5,0.10450124740600586,0.30463609734923813,11.0,0.0,2.0970876505363654,0.10929288145663486,1.0929288145663483,0.8769579771733427,0.0712158479221174,6,6,11,0.7121584792211743,4
6,0.10450124740600586,-0.0,9.0,0.0,2.5544132681774356,0.08504963194782984,0.8504963194782981,0.9780052090880194,0.024530819045694673,6,6,9,0.2453081904569458,2
7,0.10450124740600586,-0.0,10.0,0.1,2.8913485404006933,0.11264328991795114,1.1264328991795112,1.1272441769202735,0.059141261425248115,6,6,10,0.5914126142524809,4
8,0.10450124740600586,0.2868359830561607,12.0,0.08333333333333333,3.119488888245373,0.11429123078361723,1.142912307836172,1.1250941060433797,0.05027168699016649,7,7,12,0.502716869901665,4
9,0.10450124740600586,0.34883209584303193,9.0,0.1111111111111111,3.2738180473952294,0.1596632001404406,1.5966320014044064,1.0884453281795108,0.10622251318284531,8,8,9,1.0622251318284528,3
10,0.10450124740600586,0.2868359830561607,12.0,0.0,3.468634998534442,0.12038147065157744,1.203814706515774,1.0907184732626554,0.049054144704037794,9,9,12,0.4905414470403781,4
11,0.10450124740600586,-0.0,10.0,0.1,3.6459796915732294,0.11978628880671324,1.1978628880671323,1.1821958252480484,0.04796567820683803,9,9,10,0.47965678206838047,4
12,0.10450124740600586,-0.0,9.0,0.1111111111111111,3.9802216934000465,0.10126273315281559,1.0126273315281553,1.2314560654521503,0.016300447064299225,9,9,9,0.16300447064299223,2
13,0.10450124740600586,0.30463609734923813,11.0,0.09090909090909091,4.0318628220787645,0.1426565571037113,1.426565571037112,1.3315408801548858,0.09810425108329782,9,9,11,0.9810425108329787,4
14,0.10450124740600586,-0.0,9.0,0.2222222222222222,4.423484117588384,0.10497943920582171,1.0497943920582173,1.3760224447509826,0.027583624157434154,9,9,9,0.27583624157433995,2
15,0.10450124740600586,-0.0,9.0,0.1111111111111111,4.6891067448929675,0.15264782271555977,1.5264782271555974,1.4616333648303894,0.12705544001832342,9,9,9,1.2705544001832343,3
16,0.10450124740600586,-0.0,10.0,0.3,4.7567898079478335,0.13928065494958458,1.392806549495846,1.5476991409570569,0.06896449105078413,9,9,10,0.6896449105078412,4
17,0.10450124740600586,0.47413931305783735,11.0,0.2727272727272727,4.572401038210979,0.14622919844926788,1.4622919844926785,1.6438728049885942,0.08052974497372331,9,9,11,0.8052974497372327,4
18,0.10450124740600586,-0.0,9.0,0.0,4.910019199556115,0.11058968188980299,1.1058968188980303,1.6820185592758676,0.04348265029814032,9,9,9,0.43482650298140374,2
19,0.10450124740600586,0.34883209584303193,9.0,0.0,4.926204410677289,0.1828308941551312,1.8283089415513123,1.7633709879929957,0.14048533543313246,9,9,9,1.404853354331325,3
20,0.10450124740600586,0.6365141682948128,12.0,0.08333333333333333,4.708693787015112,0.17949056448117884,1.7949056448117888,1.8722313444015184,0.13916313702361027,9,9,12,1.391631370236102,3
21,0.10450124740600586,-0.0,10.0,0.2,4.768732523053798,0.11624289168677171,1.1624289168677175,1.9322770220615193,0.044308536016755315,9,9,10,0.4430853601675545,3
22,0.10450124740600586,0.6172417697303416,13.0,0.0,4.504728719041882,0.14559147824404867,1.4559147824404872,2.021176303451435,0.10749345545193731,9,9,13,1.0749345545193731,3
23,0.10450124740600586,0.30463609734923813,11.0,0.0,4.599482595143946,0.16597998846836742,1.6597998846836723,2.085705577264884,0.13507880272173145,9,9,11,1.3507880272173154,3
24,0.10450124740600586,-0.0,10.0,0.1,4.6843818946969265,0.10856175376822015,1.0856175376822006,2.139608733753035,0.03129140915656219,9,9,10,0.312914091565623,3
25,0.10450124740600586,-0.0,10.0,0.0,4.760451128284585,0.13621630304644358,1.3621630304644352,2.220180420768293,0.08322325342897517,9,9,10,0.8322325342897515,4
26,0.10450124740600586,-0.0,10.0,0.2,4.922799625243394,0.1358779526065148,1.358779526065149,2.296565206270694,0.07934058349027302,9,9,10,0.79340583490273,4
27,0.10450124740600586,-0.0,10.0,0.1,5.18490005034858,0.10772794373482397,1.0772794373482397,2.3423457376133023,0.03746302292790638,9,9,10,0.3746302292790651,3
28,0.10450124740600586,-0.0,10.0,0.3,5.431078174315039,0.10759154143146321,1.075915414314632,2.384297622400137,0.042138471388635225,9,9,10,0.42138471388635274,3
29,0.10450124740600586,-0.0,10.0,0.1,5.743001955758409,0.1318614236980594,1.318614236980593,2.4561696514146165,0.09427894808795473,9,9,10,0.9427894808795476,4
30,0.10450124740600586,0.4293230219306162,13.0,0.0,5.851010057478616,0.1642945692658936,1.642945692658936,2.5578997795046803,0.10742021615383662,9,9,13,1.0742021615383657,4
31,0.10450124740600586,-0.0,10.0,0.1,6.100975501796237,0.10237750323552697,1.02377503235527,2.59195654619518,0.03945266410733815,9,9,10,0.3945266410733815,3
32,0.10550332069396973,-0.0,9.0,0.1111111111111111,6.100975501796237,0.14783406639292504,1.4783406639292498,2.6611803805744416,0.0999909080378332,9,9,9,0.9999090803783313,3
33,0.10550332069396973,-0.0,9.0,0.1111111111111111,6.100975501796237,0.14898171561279186,1.4898171561279183,2.726102270201036,0.09687523409647875,9,9,9,0.9687523409647882,3
34,0.10550332069396973,-0.0,8.0,0.0,6.100975501796237,0.1206295190831917,1.2062951908319175,2.746370099188958,0.052448236370297836,9,9,8,0.5244823637029771,2
35,0.10550332069396973,-0.0,10.0,0.0,6.298483062108378,0.10705698727994602,1.0705698727994604,2.7777166733650085,0.057140981735830786,9,9,10,0.5714098173583065,3
36,0.10550332069396973,-0.0,8.0,0.0,6.298483062108378,0.12198851942756667,1.2198851942756674,2.795817938058135,0.0571587953904362,9,9,8,0.5715879539043621,2
37,0.10550332069396973,-0.0,10.0,0.1,6.667371834565489,0.10643779008182515,1.0643779008182503,2.824343987566295,0.060822992089783146,9,9,10,0.6082299208978315,3
38,0.10550332069396973,-0.0,9.0,0.0,6.667371834565489,0.12171184627154119,1.2171184627154106,2.8507538972440667,0.060707242653011945,9,9,9,0.6070724265301185,2
39,0.10550332069396973,-0.0,10.0,0.0,6.840996755264152,0.14391137919014665,1.4391137919014676,2.9147779484207756,0.11806925893476321,9,9,10,1.1806925893476312,4
40,0.10550332069396973,0.45056120886630463,12.0,0.08333333333333333,6.840996755264152,0.1694841431215961,1.694841431215959,3.0052479642385466,0.11122080903851084,9,9,12,1.1122080903851086,3
41,0.10550332069396973,-0.0,10.0,0.3,7.071599837337024,0.1117588626950261,1.117588626950261,3.027641403126157,0.057005155919480306,9,9,10,0.5700515591948028,3
42,0.10550332069396973,-0.0,10.0,0.2,7.279573875708683,0.14732514696199317,1.4732514696199313,3.086541392073082,0.11018399121987998,9,9,10,1.1018399121987994,4
43,0.10550332069396973,-0.0,8.0,0.0,7.279573875708683,0.12376119120630735,1.2376119120630746,3.1029186573565184,0.06442575436778258,9,9,8,0.6442575436778244,2
44,0.10550332069396973,-0.0,9.0,0.1111111111111111,7.279573875708683,0.15294234986510244,1.5294234986510225,3.1582660002796206,0.10187819634814976,9,9,9,1.0187819634814974,3
45,0.10550332069396973,0.3250829733914482,10.0,0.1,7.3250813990900925,0.12727834111540187,1.2727834111540195,3.213783814541423,0.10588981242921362,9,9,10,1.0588981242921376,4
46,0.10550332069396973,-0.0,8.0,0.125,7.3250813990900925,0.16033708741159436,1.6033708741159427,3.255534243984194,0.10665146764030899,9,9,8,1.066514676403091,3
47,0.10550332069396973,0.30463609734923813,11.0,0.0,7.544804635093373,0.12227094250401765,1.2227094250401775,3.315938994399503,0.09047200636637187,9,9,11,0.9047200636637199,4
48,0.10550332069396973,-0.0,10.0,0.2,7.648794900774354,0.1444485274706782,1.4444852747067816,3.3610900161111346,0.09738196151125816,9,9,10,0.9738196151125831,4
49,0.10550332069396973,-0.0,10.0,0.3,7.572992869283485,0.1581052389008152,1.5810523890081516,3.4189652463433737,0.1270262256503115,9,9,10,1.2702622565031145,4
50,0.10550332069396973,-0.0,10.0,0.2,7.842349172761624,0.11858407269190781,1.185840726919078,3.4327291948987626,0.06208418748943594,9,9,10,0.6208418748943593,3
51,0.10550332069396973,-0.0,9.0,0.1111111111111111,7.842349172761624,0.12476356887876877,1.2476356887876887,3.455785152757308,0.0708725063724221,9,9,9,0.708725063724222,2
52,0.10550332069396973,-0.0,9.0,0.0,7.842349172761624,0.12630643237392247,1.2630643237392243,3.477107910328016,0.07374107518166216,9,9,9,0.7374107518166199,2
53,0.10550332069396973,-0.0,8.0,0.125,7.842349172761624,0.15318375626208525,1.531837562620852,3.509468984521753,0.09102894267039935,9,9,8,0.9102894267039933,3
54,0.10550332069396973,0.47413931305783735,11.0,0.09090909090909091,7.842349172761624,0.18209312137302264,1.8209312137302263,3.55236519314242,0.10258381714782706,9,9,11,1.0258381714782714,2
55,0.10550332069396973,0.30463609734923813,11.0,0.0,8.0672609848783,0.10178466535248147,1.0178466535248156,3.574087651912862,0.02232205873226915,9,9,11,0.22322058732269,3
56,0.10550332069396973,0.2868359830561607,12.0,0.08333333333333333,8.185574751517253,0.18287590295082498,1.8287590295082488,3.691025789419734,0.1509965224371392,9,9,12,1.509965224371392,4
57,0.10550332069396973,0.34883209584303193,9.0,0.2222222222222222,8.185574751517253,0.1015206132498307,1.0152061324983077,3.717353062344547,0.024372179812175012,9,9,9,0.24372179812174888,2
58,0.10651731491088867,-0.0,11.0,0.09090909090909091,8.299789769927017,0.14447540507633738,1.4447540507633745,3.7622974402357467,0.08298585811085228,9,9,11,0.8298585811085227,4
59,0.10651731491088867,0.30463609734923813,11.0,0.0,8.402547426809049,0.14272160222936348,1.4272160222936348,3.7800423301835644,0.06944638309046991,9,9,11,0.6944638309046994,3
60,0.10651731491088867,-0.0,9.0,0.2222222222222222,8.402547426809049,0.132681939930569,1.3268193993056898,3.81887633833162,0.060817177441484675,9,9,9,0.6081717744148475,3
61,0.10651731491088867,-0.0,9.0,0.2222222222222222,8.402547426809049,0.12410478103868922,1.2410478103868923,3.842572066852382,0.06387623041135725,9,9,9,0.6387623041135716,2
62,0.10651731491088867,0.3250829733914482,10.0,0.0,8.503642532488312,0.10687966691382136,1.068796669138214,3.848266327631591,0.028999097354081883,9,9,10,0.2899909735408191,3
63,0.10651731491088867,-0.0,10.0,0.1,8.684038073042554,0.12747117148229087,1.2747117148229095,3.8512628608403423,0.06318070115502974,9,9,10,0.6318070115502968,3
