episode,wall_clock_sec,episode_return,exploration_ratio,mean_abs_q_change,mean_abs_td_error,steps
0,0.10403060913085938,8.0,0.125,0.09368254498875,0.9368254498875,8
1,0.10403060913085938,9.0,0.1111111111111111,0.09180188873119421,0.9180188873119425,9
2,0.10403060913085938,9.0,0.0,0.08321304574316278,0.8321304574316277,9
3,0.10455894470214844,9.0,0.1111111111111111,0.08285421823858427,0.8285421823858423,9
4,0.10455894470214844,9.0,0.1111111111111111,0.10313241755685428,1.0313241755685425,9
5,0.10455894470214844,9.0,0.0,0.10452935553678916,1.0452935553678913,9
6,0.10455894470214844,9.0,0.0,0.1237991508706679,1.2379915087066793,9
7,0.10455894470214844,10.0,0.1,0.13630193531977358,1.3630193531977357,10
8,0.10455894470214844,10.0,0.2,0.10830475443506508,1.0830475443506509,10
9,0.10455894470214844,10.0,0.2,0.10647353029360798,1.06473530293608,10
10,0.10455894470214844,11.0,0.18181818181818182,0.12104253405957105,1.2104253405957108,11
11,0.10455894470214844,12.0,0.08333333333333333,0.1472286696104603,1.4722866961046035,12
12,0.10455894470214844,9.0,0.0,0.1321701439328202,1.3217014393282023,9
13,0.10455894470214844,12.0,0.16666666666666666,0.14132775923709082,1.4132775923709084,12
14,0.10455894470214844,9.0,0.1111111111111111,0.13387665650982358,1.3387665650982354,9
15,0.10455894470214844,9.0,0.1111111111111111,0.11703449979719033,1.1703449979719027,9
16,0.10455894470214844,12.0,0.0,0.13435386144338599,1.34353861443386,12
17,0.10455894470214844,10.0,0.0,0.13384830244205886,1.3384830244205879,10
18,0.1050882339477539,10.0,0.1,0.13447326557783154,1.344732655778316,10
19,0.1050882339477539,10.0,0.1,0.12791470773186261,1.279147077318626,10
20,0.1050882339477539,8.0,0.0,0.14961167155152014,1.4961167155152015,8
21,0.1050882339477539,10.0,0.1,0.16130657117871586,1.6130657117871592,10
22,0.1050882339477539,12.0,0.08333333333333333,0.17756727096458289,1.7756727096458291,12
23,0.1050882339477539,10.0,0.3,0.12631392893680027,1.2631392893680031,10
24,0.1050882339477539,9.0,0.0,0.14477432350599223,1.4477432350599215,9
25,0.1050882339477539,8.0,0.125,0.14832096135406272,1.483209613540627,8
26,0.1050882339477539,9.0,0.2222222222222222,0.1429452028100737,1.4294520281007375,9
27,0.1050882339477539,10.0,0.1,0.13569060480537157,1.356906048053716,10
28,0.1050882339477539,9.0,0.0,0.14285471078491666,1.4285471078491676,9
29,0.1050882339477539,10.0,0.1,0.17627347360882156,1.7627347360882173,10
30,0.1050882339477539,9.0,0.0,0.11429863822702406,1.1429863822702404,9
31,0.1050882339477539,9.0,0.2222222222222222,0.11835384822519263,1.1835384822519268,9
32,0.1050882339477539,8.0,0.0,0.12421690575086064,1.2421690575086073,8
33,0.1050882339477539,13.0,0.07692307692307693,0.21652982105074559,2.1652982105074567,13
34,0.1050882339477539,9.0,0.2222222222222222,0.1480285543766285,1.4802855437662854,9
35,0.1050882339477539,10.0,0.1,0.20784585959461274,2.0784585959461266,10
36,0.1050882339477539,11.0,0.0,0.12803721607418647,1.2803721607418639,11
37,0.1050882339477539,9.0,0.0,0.11913425833661556,1.1913425833661557,9
38,0.1050882339477539,8.0,0.125,0.12350279947520404,1.2350279947520395,8
39,0.1050882339477539,10.0,0.1,0.13412930036280404,1.3412930036280395,10
40,0.1056220531463623,12.0,0.0,0.16717970673709248,1.6717970673709253,12
41,0.1056220531463623,11.0,0.0,0.16445585569688806,1.644558556968881,11
42,0.1056220531463623,10.0,0.0,0.1768908666804717,1.7689086668047167,10
43,0.1056220531463623,9.0,0.1111111111111111,0.16257615871082529,1.6257615871082522,9
44,0.1056220531463623,9.0,0.0,0.1332836252113753,1.3328362521137522,9
45,0.1056220531463623,15.0,0.2,0.17692780985115938,1.7692780985115932,15
46,0.1056220531463623,9.0,0.0,0.12411242958034702,1.2411242958034698,9
47,0.1056220531463623,10.0,0.1,0.12222080930075227,1.2222080930075216,10
48,0.1056220531463623,14.0,0.07142857142857142,0.16236582236535102,1.623658223653509,14
49,0.1056220531463623,11.0,0.09090909090909091,0.154192472243228,1.5419247224322796,11
50,0.1056220531463623,10.0,0.3,0.11914285170847108,1.1914285170847112,10
51,0.1056220531463623,11.0,0.18181818181818182,0.15097600238317127,1.5097600238317122,11
52,0.1056220531463623,9.0,0.2222222222222222,0.1451371191620716,1.451371191620716,9
53,0.1056220531463623,9.0,0.1111111111111111,0.12613305112474427,1.261330511247442,9
54,0.1056220531463623,9.0,0.0,0.127853938006267,1.2785393800626688,9
55,0.1056220531463623,10.0,0.4,0.13001418069211837,1.300141806921184,10
56,0.1056220531463623,10.0,0.3,0.16909310808322836,1.690931080832284,10
57,0.1056220531463623,9.0,0.1111111111111111,0.12571399065646466,1.2571399065646458,9
58,0.1056220531463623,10.0,0.1,0.13856880714739533,1.3856880714739546,10
59,0.10614299774169922,11.0,0.09090909090909091,0.1408553074661963,1.4085530746619634,11
60,0.10614299774169922,10.0,0.0,0.12325984511203573,1.2325984511203576,10
61,0.10614299774169922,11.0,0.09090909090909091,0.12427158731236428,1.2427158731236414,11
