episode,wall_clock_sec,action_entropy,episode_return,exploration_ratio,max_q_value,mean_abs_q_change,mean_abs_td_error,mean_q_value,q_change_std,q_table_nonzero,q_table_size,steps,td_error_std,unique_states_visited
17,0.11082983016967773,0.410116318288409,14.0,0.14285714285714285,4.558666809998732,0.14968263181619992,1.4968263181619987,1.7207968886286324,0.08629214437394185,9,9,14,0.8629214437394185,4
18,0.11082983016967773,-0.0,9.0,0.2222222222222222,4.902672306642761,0.11044657154991588,1.1044657154991586,1.7590929313267072,0.041297146949839734,9,9,9,0.41297146949839697,2
19,0.11082983016967773,-0.0,9.0,0.2222222222222222,5.04008322200595,0.15736956105172872,1.573695610517288,1.838742253680631,0.1262292673894571,9,9,9,1.2622926738945706,3
20,0.11082983016967773,0.30463609734923813,11.0,0.18181818181818182,5.257174338487371,0.1582097704977705,1.5820977049777056,1.7543074940724863,0.11041934984717959,10,10,11,1.1041934984717956,3
21,0.11082983016967773,-0.0,10.0,0.4,5.289537976655442,0.1292978492970685,1.2929784929706842,1.8104147312564518,0.06237375449333416,10,10,10,0.6237375449333414,3
22,0.11082983016967773,-0.0,10.0,0.1,5.316952562180419,0.12433307485231784,1.2433307485231786,1.8609148163718892,0.05453503232906319,10,10,10,0.5453503232906307,3
23,0.11082983016967773,-0.0,10.0,0.1,5.2550459532778815,0.11799758046758128,1.179975804675813,1.906425291219898,0.04715252399402134,10,10,10,0.4715252399402142,3
24,0.11082983016967773,0.30463609734923813,11.0,0.0,5.198127443839658,0.1560730864749529,1.5607308647495293,1.956560974446699,0.10542065104376402,10,10,11,1.05420651043764,3
25,0.11082983016967773,0.3250829733914482,10.0,0.0,5.174046976055243,0.18254964152009484,1.8254964152009492,2.031589250343403,0.13122229122780138,10,10,10,1.312222912278014,4
26,0.11082983016967773,-0.0,10.0,0.0,5.257798464450292,0.14276140484289668,1.4276140484289674,2.101196039574723,0.09712665792699428,10,10,10,0.9712665792699421,4
27,0.11082983016967773,0.5004024235381879,10.0,0.1,5.602461771054837,0.09366627104746526,0.9366627104746519,2.1402137997341066,0.04465429926826231,10,10,10,0.4465429926826229,3
28,0.11082983016967773,0.30463609734923813,11.0,0.09090909090909091,5.387897980458638,0.17740124770412136,1.7740124770412142,2.183273483416364,0.1419533659854502,10,10,11,1.419533659854501,3
29,0.11082983016967773,-0.0,10.0,0.1,5.670570556043728,0.13906934754722444,1.3906934754722446,2.2484329013955633,0.09283297662690758,10,10,10,0.9283297662690767,4
30,0.11082983016967773,0.2868359830561607,12.0,0.0,5.900147372292507,0.15153236279207277,1.5153236279207274,2.355780800978265,0.10869703884151073,10,10,12,1.0869703884151083,4
31,0.11082983016967773,-0.0,10.0,0.0,6.193308932941599,0.1049709741598722,1.0497097415987215,2.385773178015749,0.0588192065929758,10,10,10,0.5881920659297579,3
32,0.11082983016967773,-0.0,9.0,0.1111111111111111,6.193308932941599,0.1564523900391006,1.5645239003910065,2.447422367778477,0.11689020771377157,10,10,9,1.1689020771377152,3
33,0.11082983016967773,-0.0,9.0,0.1111111111111111,6.193308932941599,0.1560267912115431,1.5602679121154297,2.504896231691335,0.11089015662174233,10,10,9,1.108901566217425,3
34,0.11082983016967773,-0.0,8.0,0.0,6.193308932941599,0.12444662578442972,1.2444662578442993,2.519869302592269,0.06576697781456187,10,10,8,0.6576697781456186,2
35,0.11082983016967773,-0.0,10.0,0.1,6.408674183514042,0.11151597089747485,1.1151597089747487,2.547064537036682,0.06369168783424009,10,10,10,0.6369168783424016,3
36,0.11082983016967773,-0.0,8.0,0.0,6.408674183514042,0.12480342925257071,1.2480342925257075,2.5608821195211133,0.06729020482193125,10,10,8,0.6729020482193131,2
37,0.11082983016967773,-0.0,10.0,0.1,6.786476131768201,0.10826695873602046,1.0826695873602048,2.585370304530924,0.06813049018698736,10,10,10,0.681304901869874,3
38,0.11082983016967773,0.3250829733914482,10.0,0.1,6.786476131768201,0.16990442292852656,1.6990442292852663,2.6183816258671744,0.11233435385091588,10,10,10,1.123343538509158,2
39,0.11082983016967773,-0.0,10.0,0.3,6.921867775550252,0.14489912094531704,1.44899120945317,2.6746453147288234,0.11051645949523776,10,10,10,1.105164594952378,4
40,0.11082983016967773,-0.0,8.0,0.125,6.921867775550252,0.12288174098742849,1.2288174098742848,2.6901529943300124,0.06054360039033081,10,10,8,0.6054360039033068,2
41,0.11082983016967773,-0.0,10.0,0.4,7.149037436365992,0.11253025057709243,1.1253025057709238,2.709470541904878,0.05962656248302087,10,10,10,0.5962656248302081,3
42,0.11082983016967773,-0.0,10.0,0.2,7.352802521818083,0.14744388908780365,1.4744388908780361,2.7610594792566325,0.10945866057230551,10,10,10,1.0945866057230538,4
43,0.11082983016967773,0.37677016125643675,8.0,0.0,7.352802521818083,0.1080793814979252,1.0807938149792529,2.7766464166207645,0.07508184665205059,10,10,8,0.750818466520507,2
44,0.11082983016967773,-0.0,9.0,0.1111111111111111,7.352802521818083,0.15669122900697013,1.5669122900697021,2.829444791809275,0.1113639064041858,10,10,9,1.1136390640418583,3
45,0.11082983016967773,-0.0,10.0,0.1,7.391978784435214,0.14738160968710892,1.473816096871089,2.8768390834304447,0.11293176711008014,10,10,10,1.1293176711008017,4
46,0.11082983016967773,0.3250829733914482,10.0,0.2,7.391978784435214,0.1930263143162998,1.9302631431629975,2.9369864873307487,0.11902344637166822,10,10,10,1.190234463716682,3
47,0.11182975769042969,0.2868359830561607,12.0,0.0,6.938484141293978,0.2130318260928108,2.1303182609281084,2.9998965334834655,0.18919083543707607,10,10,12,1.8919083543707609,4
48,0.11182975769042969,0.3250829733914482,10.0,0.1,7.0744870090019285,0.16268300589291038,1.6268300589291047,3.0407230018855405,0.11659876543181287,10,10,10,1.1659876543181285,4
49,0.11182975769042969,0.3250829733914482,10.0,0.1,7.0146276218330375,0.12919666709346153,1.2919666709346163,3.0966844883480786,0.11313244205219716,10,10,10,1.1313244205219712,4
50,0.11182975769042969,0.3250829733914482,10.0,0.1,7.306544012554868,0.1381341067214838,1.3813410672148374,3.1160621357852767,0.09449903801583512,10,10,10,0.9449903801583514,3
51,0.11182975769042969,0.3250829733914482,10.0,0.0,7.306544012554868,0.14159911085779325,1.4159911085779329,3.1519015849529657,0.07818966808942743,10,10,10,0.781896680894274,2
52,0.11182975769042969,0.30463609734923813,11.0,0.0,7.306544012554868,0.1333355186371288,1.3333551863712882,3.1958715541992335,0.07164700425858128,10,10,11,0.7164700425858137,2
53,0.11182975769042969,-0.0,8.0,0.25,7.306544012554868,0.14232836046352754,1.4232836046352748,3.228041627074451,0.07484767252958412,10,10,8,0.7484767252958412,3
54,0.11182975769042969,-0.0,9.0,0.0,7.306544012554868,0.12256510714099905,1.2256510714099904,3.2510021884403884,0.06594879463341649,10,10,9,0.6594879463341655,2
55,0.11182975769042969,0.2868359830561607,12.0,0.08333333333333333,7.120200930973688,0.17641687576630816,1.764168757663083,3.286577679182197,0.12985347992707832,10,10,12,1.2985347992707825,4
56,0.11182975769042969,0.30463609734923813,11.0,0.18181818181818182,6.918974048118591,0.1856908680677834,1.8569086806778345,3.3305387951527727,0.12281273216188247,10,10,11,1.2281273216188247,4
57,0.11182975769042969,-0.0,8.0,0.125,6.918974048118591,0.12563921084381463,1.2563921084381469,3.3444590174989393,0.06758700023146848,10,10,8,0.6758700023146834,2
58,0.11182975769042969,-0.0,11.0,0.09090909090909091,7.153436355976897,0.12111434237561246,1.211143423756126,3.3845254841174635,0.06615318801295086,10,10,11,0.661531880129509,4
59,0.11182975769042969,-0.0,10.0,0.2,7.3627224311778985,0.11475652418045845,1.1475652418045847,3.401454477562479,0.06147626220690774,10,10,10,0.6147626220690774,3
60,0.11182975769042969,-0.0,9.0,0.2222222222222222,7.3627224311778985,0.13944292517642973,1.394429251764299,3.43942793538912,0.07844782370728397,10,10,9,0.7844782370728398,3
61,0.11182975769042969,0.3250829733914482,10.0,0.4,7.3627224311778985,0.14445069545561312,1.444506954556131,3.4699316247257963,0.08548766746605696,10,10,10,0.8548766746605696,2
62,0.11182975769042969,-0.0,10.0,0.1,7.56652339509259,0.11674398544884905,1.1674398544884914,3.484665446555126,0.06802034360760485,10,10,10,0.6802034360760486,3
63,0.11182975769042969,0.30463609734923813,11.0,0.09090909090909091,7.828693185487619,0.13044287606485083,1.3044287606485074,3.508056669574787,0.06872443825657518,10,10,11,0.6872443825657524,3
64,0.11182975769042969,-0.0,10.0,0.0,7.861772173026217,0.1388956783850972,1.3889567838509738,3.537538017646823,0.07033403922659365,10,10,10,0.7033403922659356,4
65,0.11182975769042969,-0.0,10.0,0.0,7.892454544540709,0.1367775018028937,1.3677750180289372,3.564244020395132,0.06662139305905061,10,10,10,0.6662139305905065,4
66,0.11182975769042969,0.2868359830561607,12.0,0.08333333333333333,7.882645335707757,0.14922719620627797,1.4922719620627796,3.6065802744579494,0.07410620993664252,10,10,12,0.7410620993664251,4
67,0.11182975769042969,-0.0,9.0,0.2222222222222222,7.882645335707757,0.13076321899500995,1.3076321899501002,3.6425434409049857,0.05979510742925951,10,10,9,0.5979510742925952,3
68,0.11182975769042969,-0.0,8.0,0.125,7.882645335707757,0.12343355416934898,1.234335541693489,3.657570836699749,0.06322516256598285,10,10,8,0.6322516256598298,2
69,0.11182975769042969,0.30463609734923813,11.0,0.09090909090909091,7.932163839452638,0.13417897003921542,1.3417897003921535,3.690174228440662,0.06628880705104025,10,10,11,0.662888070510403,4
70,0.11182975769042969,-0.0,10.0,0.2,8.03866558317024,0.13101557685129453,1.310155768512945,3.709736283908626,0.05349333595865484,10,10,10,0.5349333595865491,4
71,0.11182975769042969,-0.0,9.0,0.1111111111111111,8.03866558317024,0.12885159514707523,1.2885159514707532,3.743727864410423,0.05688380575773417,10,10,9,0.5688380575773422,3
72,0.11182975769042969,-0.0,8.0,0.0,8.03866558317024,0.12362140775705,1.2362140775704995,3.7585799631579713,0.06237425724223808,10,10,8,0.6237425724223824,2
73,0.11182975769042969,-0.0,9.0,0.1111111111111111,8.03866558317024,0.12378026986844547,1.2378026986844552,3.7802854063316387,0.06641358284550217,10,10,9,0.6641358284550213,2
74,0.11182975769042969,-0.0,9.0,0.1111111111111111,8.03866558317024,0.1249885800588238,1.249885800588238,3.799907286422087,0.07276636272565522,10,10,9,0.7276636272565524,2
75,0.11182975769042969,-0.0,10.0,0.1,8.113614460565762,0.12387334044527734,1.2387334044527716,3.808113563490538,0.06914867756854541,10,10,10,0.6914867756854536,3
76,0.11182975769042969,0.3250829733914482,10.0,0.1,8.011121599962712,0.15561922243197734,1.5561922243197706,3.8274851964685164,0.10360183862256248,10,10,10,1.0360183862256247,4
77,0.11182975769042969,-0.0,10.0,0.1,7.995178610372366,0.12954625092832273,1.2954625092832264,3.8437657396493465,0.06560085621994573,10,10,10,0.6560085621994569,4
78,0.11182975769042969,0.47413931305783735,11.0,0.0,8.14295068961626,0.10619645831723541,1.061964583172353,3.863831293366251,0.07748309769586809,10,10,11,0.7748309769586798,3
79,0.11282944679260254,-0.0,10.0,0.1,8.171158581177918,0.12495851370736041,1.2495851370736029,3.8710675558271452,0.055746055180221465,10,10,10,0.5574605518022148,3
80,0.11282944679260254,-0.0,9.0,0.1111111111111111,8.171158581177918,0.12418300316199894,1.24183003161999,3.8922871703050594,0.06249687924740216,10,10,9,0.6249687924740217,2
81,0.11282944679260254,0.34883209584303193,9.0,0.1111111111111111,8.171158581177918,0.139127863858083,1.3912786385808305,3.9262779595325705,0.08035545731551004,10,10,9,0.8035545731551006,3
82,0.11282944679260254,0.2868359830561607,12.0,0.08333333333333333,8.305302454719715,0.16154235666969144,1.6154235666969134,4.003814213343778,0.13111320407713267,10,10,12,1.3111320407713263,4
83,0.11282944679260254,-0.0,10.0,0.2,8.496736325928156,0.12558730283605324,1.2558730283605324,4.0086093609157025,0.06182235822284775,10,10,10,0.6182235822284764,3
84,0.11282944679260254,-0.0,9.0,0.0,8.496736325928156,0.12462497923905448,1.2462497923905458,4.02947440634336,0.06889799232219106,10,10,9,0.6889799232219118,2
85,0.11282944679260254,-0.0,8.0,0.25,8.496736325928156,0.139538214479685,1.3953821447968495,4.05054759047726,0.07396652764674484,10,10,8,0.7396652764674496,3
86,0.11282944679260254,0.34883209584303193,9.0,0.3333333333333333,8.496736325928156,0.1178198952367269,1.1781989523672693,4.079162865675488,0.08569243181177134,10,10,9,0.8569243181177134,3
87,0.11282944679260254,-0.0,9.0,0.1111111111111111,8.445719805735234,0.13092407538723258,1.3092407538723254,4.074087076904389,0.07491831932360467,10,10,9,0.7491831932360459,3
88,0.11282944679260254,-0.0,9.0,0.0,8.40364598119421,0.13034942970250796,1.303494297025079,4.069515666017596,0.07712871114157177,10,10,9,0.7712871114157187,3
89,0.11282944679260254,-0.0,10.0,0.1,8.533472406077843,0.13232227545539238,1.3232227545539235,4.080875673859795,0.07051908822888775,10,10,10,0.705190882288877,4
90,0.11282944679260254,0.34883209584303193,9.0,0.0,8.533472406077843,0.10551480834797156,1.0551480834797164,4.099997294848062,0.03434792441345966,10,10,9,0.3434792441345975,2
91,0.11282944679260254,0.45056120886630463,12.0,0.0,8.533472406077843,0.14110067495056808,1.41100674950568,4.153834243276917,0.0796414872825385,10,10,12,0.7964148728253846,3
92,0.11282944679260254,-0.0,10.0,0.4,8.652741087822138,0.13327027264203517,1.3327027264203513,4.1635181456208965,0.06685005066962693,10,10,10,0.6685005066962709,4
93,0.11282944679260254,-0.0,10.0,0.1,8.664834241835456,0.12987048662618447,1.298704866261846,4.1654525803805456,0.06829097410656032,10,10,10,0.6829097410656046,3
94,0.11282944679260254,-0.0,9.0,0.1111111111111111,8.664834241835456,0.1323344500782504,1.3233445007825035,4.189585837646826,0.07008118439053955,10,10,9,0.7008118439053963,3
95,0.11282944679260254,0.5004024235381879,10.0,0.1,8.664834241835456,0.12554507762982314,1.255450776298231,4.2194336272303286,0.08843108448434642,10,10,10,0.8843108448434643,2
96,0.11282944679260254,0.5402041423888608,13.0,0.15384615384615385,8.664834241835456,0.10730683460662105,1.0730683460662105,4.279237231165792,0.061296473734036,10,10,13,0.6129647373403598,3
97,0.11282944679260254,-0.0,11.0,0.09090909090909091,8.791339126774075,0.13180316267676268,1.3180316267676269,4.296024271315341,0.06921499227794888,10,10,11,0.692149922779489,4
98,0.11282944679260254,0.30463609734923813,11.0,0.0,8.644235220786758,0.1338410908980712,1.3384109089807144,4.313886075281694,0.0763041162206237,10,10,11,0.763041162206238,4
99,0.11282944679260254,-0.0,9.0,0.1111111111111111,8.644235220786758,0.1328784881914578,1.3287848819145782,4.335041054724016,0.07234237675875865,10,10,9,0.7234237675875852,3
