episode,wall_clock_sec,action_entropy,episode_return,exploration_ratio,max_q_value,mean_abs_q_change,mean_abs_td_error,mean_q_value,q_change_std,q_table_nonzero,q_table_size,steps,td_error_std,unique_states_visited
0,0.10982275009155273,0.47413931305783735,11.0,0.0,0.42810615811900005,0.09535162786473544,0.9535162786473546,0.34962263550403,0.018917380871953108,3,3,11,0.1891738087195311,2
1,0.10982275009155273,0.45056120886630463,12.0,0.16666666666666666,0.701489897695486,0.09386378599980787,0.9386378599980786,0.543808334627446,0.020468080443033474,4,4,12,0.20468080443033468,3
2,0.10982275009155273,0.45056120886630463,12.0,0.0,1.04739302518355,0.09445931990850576,0.9445931990850572,0.6617490354823706,0.030609193517432,5,5,12,0.30609193517431993,4
3,0.10982275009155273,-0.0,9.0,0.0,1.577139667605009,0.08207050596310105,0.8207050596310106,0.8051531546269546,0.03192257261176653,5,5,9,0.31922572611766564,2
4,0.10982275009155273,-0.0,8.0,0.0,1.9818458870935445,0.07898871617115216,0.789887161711522,0.9197363252050476,0.034035203015794664,5,5,8,0.3403520301579468,2
5,0.10982275009155273,0.2868359830561607,12.0,0.08333333333333333,2.2733275256605547,0.10121966052510134,1.0121966052510138,0.9526985441206172,0.05095311836405337,6,6,12,0.509531183640534,4
6,0.10982275009155273,-0.0,9.0,0.1111111111111111,2.7251254286153297,0.08688302447357023,0.8688302447357024,1.0506157980792956,0.02132619774740064,6,6,9,0.21326197747400694,2
7,0.10982275009155273,-0.0,10.0,0.2,3.0559516467872316,0.11508466488988671,1.1508466488988676,1.1982248618360312,0.06018386887797237,6,6,10,0.6018386887797236,4
8,0.10982275009155273,-0.0,10.0,0.0,3.2775850979411913,0.10892941975065082,1.0892941975065082,1.3310552130263147,0.05068814562356255,6,6,10,0.5068814562356256,3
9,0.11082983016967773,0.3250829733914482,10.0,0.1,3.378807383038707,0.1495666615662739,1.495666615662739,1.272388237550618,0.09921420417189618,7,7,10,0.9921420417189616,3
10,0.11082983016967773,0.30463609734923813,11.0,0.09090909090909091,3.675437368184633,0.12196448354010127,1.219644835401013,1.4102829797971441,0.08402783283480451,7,7,11,0.840278328348045,4
11,0.11082983016967773,-0.0,10.0,0.1,3.854827737639604,0.1260898403367576,1.260898403367576,1.530950383543996,0.05596941842646454,7,7,10,0.559694184264645,4
12,0.11082983016967773,-0.0,9.0,0.0,4.188181390495852,0.10342772401488097,1.0342772401488092,1.591082887146301,0.015673381774262897,7,7,9,0.15673381774262865,2
13,0.11082983016967773,0.2868359830561607,12.0,0.16666666666666666,4.323513962491911,0.14926312027085822,1.4926312027085824,1.5195440478006943,0.07600312768178989,8,8,12,0.7600312768178986,4
14,0.11082983016967773,-0.0,9.0,0.1111111111111111,4.7013051993351915,0.10800476648796901,1.0800476648796904,1.5657032382839713,0.030891770975618713,8,8,9,0.308917709756187,2
15,0.11082983016967773,0.5004024235381879,10.0,0.2,4.795768864579111,0.18270782034747884,1.8270782034747888,1.4906647636273824,0.13582132447892523,9,9,10,1.3582132447892517,3
16,0.11082983016967773,0.30463609734923813,11.0,0.09090909090909091,4.4614081228603615,0.1782188540893013,1.7821885408930136,1.5913510131064876,0.10214620524603699,9,9,11,1.0214620524603706,4
